id_componente,anio,mes,ftes
2,2022,1,0.2355
3,2022,1,0.8897
4,2022,1,0.3107
5,2022,1,1.6343
17,2022,1,0.3357
18,2022,1,1.6846
20,2022,1,0.574
22,2022,1,2.7912
24,2022,1,3.219
25,2022,1,0
28,2022,1,13.2637
30,2022,1,0.8608
31,2022,1,0.3
33,2022,1,1.5404
34,2022,1,0.2991
43,2022,1,1.7923
45,2022,1,1.7381
46,2022,1,0.2721
49,2022,1,1.6321
50,2022,1,9.8827
52,2022,1,0.3456
66,2022,1,0.1386
69,2022,1,0.8897
73,2022,1,3.8735
74,2022,1,1.8788
76,2022,1,1.3529
77,2022,1,0.3088
79,2022,1,0.012
80,2022,1,10.0265
82,2022,1,3.647
84,2022,1,3.9406
85,2022,1,0
88,2022,1,0.8124
89,2022,1,0
90,2022,1,0
91,2022,1,79.6563
92,2022,1,0.7061
93,2022,1,5.5343
95,2022,1,0
96,2022,1,3.3088
99,2022,1,0
100,2022,1,0
104,2022,1,3.3839
105,2022,1,3.5508
108,2022,1,0.9044
112,2022,1,0.6066
113,2022,1,0.2116
114,2022,1,0.1287
116,2022,1,15.51
119,2022,1,0.5074
122,2022,1,8.4551
125,2022,1,0.0013
136,2022,1,2.0221
137,2022,1,1.7097
138,2022,1,1.1331
139,2022,1,0.8824
142,2022,1,1.7502
145,2022,1,0
149,2022,1,1.9507
151,2022,1,0.0479
152,2022,1,2.7912
155,2022,1,0.8404
169,2022,1,0
170,2022,1,3.9842
177,2022,1,4.4672
178,2022,1,1.3787
204,2022,1,1.2536
206,2022,1,0.1444
212,2022,1,2.1612
216,2022,1,0.1157
218,2022,1,0.0037
226,2022,1,0
227,2022,1,0
228,2022,1,0
229,2022,1,13.227
233,2022,1,0.5585
258,2022,1,1.1949
263,2022,1,0.3235
269,2022,1,0
270,2022,1,0
271,2022,1,0
272,2022,1,0
274,2022,1,4.7
275,2022,1,0.1765
279,2022,1,0.011
280,2022,1,0
281,2022,1,0
282,2022,1,2.8793
283,2022,1,0.853
286,2022,1,0
287,2022,1,0
290,2022,1,6.0438
296,2022,1,0.002
297,2022,1,0.0022
298,2022,1,2.7412
304,2022,1,0.6031
307,2022,1,0.3105
311,2022,1,8.0475
314,2022,1,0.0029
315,2022,1,0.6029
316,2022,1,0.9652
317,2022,1,0.8538
319,2022,1,0.362
320,2022,1,5.2941
321,2022,1,4.396
323,2022,1,2.6882
326,2022,1,0
329,2022,1,0
330,2022,1,1.0653
332,2022,1,1.3784
333,2022,1,0.3299
335,2022,1,0.8165
336,2022,1,0.0511
340,2022,1,7.6538
342,2022,1,1.3622
346,2022,1,0.1845
347,2022,1,0.7286
348,2022,1,0.7259
349,2022,1,0
350,2022,1,0.2739
352,2022,1,2.5771
354,2022,1,0
355,2022,1,0.0397
356,2022,1,0.0539
363,2022,1,0.4143
364,2022,1,0
365,2022,1,1.0597
366,2022,1,1.3328
367,2022,1,0
369,2022,1,0
370,2022,1,0.7696
371,2022,1,0
372,2022,1,0
373,2022,1,0
374,2022,1,0
375,2022,1,0
376,2022,1,0
377,2022,1,0.0036
379,2022,1,0.2849
382,2022,1,0.8421
383,2022,1,0
384,2022,1,0.0033
385,2022,1,0.2805
386,2022,1,0.5063
388,2022,1,0.0692
389,2022,1,2.2585
390,2022,1,0.3383
391,2022,1,0.4988
392,2022,1,0.0288
393,2022,1,0.3369
394,2022,1,0.1471
395,2022,1,0.1946
396,2022,1,1.9037
399,2022,1,0
401,2022,1,1.7963
402,2022,1,2.078
403,2022,1,0.0684
404,2022,1,3.1796
406,2022,1,0.0001
407,2022,1,0.0001
408,2022,1,0.0006
409,2022,1,0.1936
410,2022,1,0.9878
411,2022,1,3.3027
412,2022,1,0
415,2022,1,2.6844
416,2022,1,0
417,2022,1,1.064
418,2022,1,1.9492
419,2022,1,3.3824
420,2022,1,1.2475
421,2022,1,3.6924
424,2022,1,2.0045
425,2022,1,0
426,2022,1,1.5614
428,2022,1,0.0864
429,2022,1,2.4545
430,2022,1,1.6703
431,2022,1,0.1904
432,2022,1,0.2771
434,2022,1,0
435,2022,1,0
436,2022,1,0.9008
437,2022,1,3.6709
438,2022,1,4.2831
439,2022,1,0.0158
441,2022,1,2.476
442,2022,1,0.9726
443,2022,1,2.2912
445,2022,1,0.0455
446,2022,1,0
447,2022,1,0.4516
448,2022,1,0.5344
449,2022,1,0.6783
450,2022,1,1.5636
452,2022,1,0.0394
455,2022,1,0
456,2022,1,0.0419
460,2022,1,0.0349
461,2022,1,0.0386
462,2022,1,0.1152
463,2022,1,0.1152
464,2022,1,0.6936
465,2022,1,0.7537
466,2022,1,0.0699
467,2022,1,2.1445
468,2022,1,0.0981
469,2022,1,1.0779
470,2022,1,0.2603
471,2022,1,0
472,2022,1,0.5471
473,2022,1,0.1348
474,2022,1,3.123
475,2022,1,4.3138
476,2022,1,0.0382
478,2022,1,3.4
479,2022,1,0.2078
480,2022,1,0
481,2022,1,0.0267
482,2022,1,0
483,2022,1,0
484,2022,1,7.9559
485,2022,1,1.4864
486,2022,1,0.7565
488,2022,1,0
489,2022,1,0.3504
490,2022,1,0
491,2022,1,5.6681
